Id,Note,Series,Tag,Name,Name_zh-Hant,Name_en,Name_ja,Tips,Tips_zh-Hant,Tips_en,Tips_ja,Description,Description_zh-Hant,Description_en,Description_ja
*38,,契约,,补给凭证,補給憑證,Supply Voucher,補給証,中庭管理局签发的凭证，凭此证可在战斗结算时获得额外派发的资源补助。,中庭管理局簽發的憑證，憑此證可在戰鬥結算時獲得額外發放的資源補助。,"A certificate issued by the Midgard Administration, allowing additional resource subsidies at battle settlement.",ミッドガルド管理局が発行した証明書。これがあれば、戦闘終了時に追加の資源補助を受けられる。,战斗结算时的奖励+1。,战斗结算时的奖励+1,Battle rewards +1.,戦闘終了時の報酬+1
39,,闭锁时环,,铭刻分针,銘刻分針,Engraved Minute Hand,刻印の分針,诸神的遗物，克洛诺斯表盘上的指针之一，由于破损已失去了其巅峰时期的伟力，通过追溯时间的印痕复原生命的活力。,諸神的遺物，克洛諾斯錶盤上的指針之一，由於破損已失去了其巔峰時期的偉力，透過追溯時間的印痕復原生命的活力。,"A relic of the gods, one of Chronos's dial hands. Due to damage, it has lost its peak power, restoring life's vitality by tracing time's imprints.",神々の遺物、クロノスの文字盤の針の一つ。破損により全盛期の偉大な力を失い、時の痕跡を遡ることで生命の活力を回復させる。,"每场战斗开始时,将你的生命调整为最大生命值的40%.如果你因为此对象失去生命,获得失去生命值等量的金币.","每场战斗开始时,将你的生命调整为最大生命值的40%.如果你因为此对象失去生命,获得失去生命值等量的金币.","At combat start, set your HP to 40% of Max HP. If you lose HP due to this effect, gain Gold equal to the HP lost.",各戦闘開始時、HPを最大HPの40%に調整する。この効果でHPを失った場合、失ったHPと同量のゴールドを獲得する。
40,,物品,,机芯,機芯,Movement,ムーブメント,以魔力为饵料，驱动圣械活动的机芯。,以魔力為餌料，驅動聖械活動的機芯,A mechanism that uses magical power as fuel to drive sacred machine activities.,魔力を餌として、聖なる機械を駆動させる機構。,战斗开始时获得1层不屈。,战斗开始时获得1层不屈,Gain 1 Stack of {buff_unyielding} at combat start.,戦闘開始時、{buff_unyielding}を1スタック獲得する。
*41,,概念,,升格仪式,升格儀式,Ascension Ritual,昇格の儀式,传说能飞升入天界的升格仪式。,傳說能飛升入天界的升格儀式,A legendary ascension ritual capable of ascending to the heavenly realm.,天界へ昇ることができると伝えられる伝説の儀式。,回合开始时给与所有敌人5层流血。如果当前场上双方全体累计流血层数大于三十，直到战斗结束，你不会因流血受到伤害。,回合开始时给与所有敌人5层流血。如果当前场上双方全体累计流血层数大于三十，直到战斗结束，你不会因流血受到伤害。,"At turn start, apply 5 Stacks of {buff_bleeding} to all enemies. If total {buff_bleeding} Stacks on both sides exceed 30, you take no {buff_bleeding} damage until battle ends.",ターン開始時、全ての敵に{buff_bleeding}を5スタック付与。双方の{buff_bleeding}合計が30を超える場合、戦闘終了まで{buff_bleeding}ダメージを受けない。
42,,物品,,刀片,刀片,Blade,刃,平平无奇的锋利刀片。,平平無奇的鋒利刀片,An ordinary sharp blade.,平凡な鋭い刃。,每回合你造成的第一次伤害+6。,每回合你造成的第一次伤害+6,The first damage you deal each turn is increased by 6.,各ターンに与える最初のダメージ+6
43,,物品,,历战徽记：体魄,歷戰徽記：體魄,Battle Badge: Physique,歴戦の証：体躯,军队颁发的奖章，赐予那些战功卓著的士兵以荣誉，同时也赋予机体更强的体魄。,軍隊頒發的獎章，賜予那些戰功卓著的士兵以榮譽，同時也賦予機體更強的體魄,"A medal awarded by the army to honor soldiers with distinguished service, also granting stronger physique.",軍が授与する勲章。戦功著しい兵士に名誉を与え、同時により強靭な肉体を与える。,"战斗开始时,你的最大生命值永久+3。","战斗开始时,你的最大生命值永久+3","At combat start, permanently increase your Max HP by 3.",戦闘開始時、最大HPが永久に+3される。
44,,物品,,全威力珠,全威力珠,Full Power Orb,全威力珠,汇聚了纯粹魔力的水晶球体，能够在关键时刻释放出爆发性的能量，让魔女的攻击威力达到极致。,匯聚了純粹魔力的水晶球體，能夠在關鍵時刻釋放出爆發性的能量，讓魔女的攻擊威力達到極致。,"A crystal sphere imbued with pure magical power, capable of unleashing explosive energy at critical moments, maximizing the witch's attack power.",純粋な魔力が凝縮された水晶球。重要な瞬間に爆発的なエネルギーを放ち、魔女の攻撃威力を最大限に引き出すことができる。,战斗开始时获得20层超凡。,战斗开始时获得20层超凡,Gain 20 Stacks of {buff_extraordinary} at combat start.,戦闘開始時、{buff_extraordinary}を20スタック獲得する。
45,,物品,,时虫之鳞,時蟲之鱗,Time Worm Scale,時の蟲の鱗,蕴含着时间的奥秘，能够短暂扭曲时空的流向。,蘊含著時間的奧秘，能夠短暫扭曲時空的流向。,"Containing the mysteries of time, it can temporarily distort the flow of space-time.",時間の奥義を秘めており、時空の流れを一時的に歪めることができる。,战斗开始时获得2层循环。,战斗开始时获得2层循环,Gain 2 Stacks of {buff_cycle} at combat start.,戦闘開始時、{buff_cycle}を2スタック獲得する。
46,,概念,,振奋之息,振奮之息,Invigorating Breath,奮い立つ息吹,来自生命之源的纯净气息，能够激发生物体内沉睡的潜能，瞬间恢复精神与体力。,來自生命之源的純淨氣息，能夠激發生物體內沉睡的潛能，瞬間恢復精神與體力。,"The pure energy from the source of life can awaken the dormant potential within living organisms, instantly restoring mental and physical vitality.",生命の源から来る純粋な息吹。生物の内に眠る潜在能力を呼び覚まし、精神と体力を瞬時に回復させる。,战斗开始时恢复8点生命,战斗开始时恢复8点生命,Restore 8 HP at combat start.,戦闘開始時にHPを8回復する。
47,,物品,,曲针,曲針,Curved Needle,曲がった針,针的用途并非总是缝补，有时也是为了精准地刺穿要害。它蓄势待发，等待着反击的良机。,針的用途並非總是縫補，有時也是為了精準地刺穿要害。它蓄勢待發，等待著反擊的良機。,"A needle's purpose is not always to mend, but sometimes to precisely pierce a vital point. It lies poised, awaiting the perfect opportunity to strike back.",針の用途は常に繕うことだけではない。時には急所を正確に貫くためにも使われる。反撃の好機を、息を潜めて待っている。,战斗开始时获得3层蓄势,战斗开始时获得3层蓄势,Gain 3 Stacks of {buff_poised} at combat start.,戦闘開始時、{buff_poised}を3スタック獲得する。
48,,概念,,渊薮呼唤,淵藪呼喚,Abyss Call,深淵の呼び声,来自深渊之底的呼唤，搅碎弱者的求生意志，重铸强者的自我信念。,來自深淵之底的呼喚，攪碎弱者的求生意志，重鑄強者的自我信念,"A call from the bottom of the abyss, shattering the weak's will to survive while reforging the strong's self-belief.",深淵の底からの呼び声。弱者の生存意志を打ち砕き、強者の自己信念を再構築する。,"如果你牌堆牌数大于18张,魔能自然恢复+1","如果你牌堆牌数大于22张,魔能自然恢复+1","If your deck has more than 22 cards, Mana regeneration +1.",山札のカードが22枚より多い場合、マナの自然回復+1。
49,,物品,,纸板甲,紙板甲,Cardboard Armor,段ボールの鎧,空想魔法的杰作，魔女将铠甲的概念从武装中抽离，即使是薄如蝉翼的纸张也能拥有坚不可摧的硬度。,空想魔法的傑作，魔女將鎧甲的概念從武裝中抽離，即使是薄如蟬翼的紙張也能擁有堅不可摧的硬度,"A masterpiece of fantasy magic, where witches extract the concept of armor from armaments, making even paper-thin sheets possess unbreakable hardness.",空想魔法の傑作。魔女が鎧の概念を武装から引き離し、蝉の羽のように薄い紙でさえも破壊不能な硬度を持つことができる。,战斗开始时获得1层坚毅,战斗开始时获得1层坚毅,Gain 1 Stack of {buff_impregnable} at combat start.,戦闘開始時、{buff_impregnable}を1スタック獲得する。
50,,物品,,历战徽记：自愈,歷戰徽記：自癒,Battle Badge: Healing,歴戦の証：自己回復,军队颁发的奖章，赐予那些战功卓著的士兵以荣誉，同时也赋予机体更强的自愈。,軍隊頒發的獎章，賜予那些戰功卓著的士兵以榮譽，同時也賦予機體更強的自愈,"A medal awarded by the army to honor soldiers with distinguished service, also granting stronger healing ability.",軍が授与する勲章。戦功著しい兵士に名誉を与え、同時により強力な自己回復能力を与える。,你受伤时时恢复2点生命值,你受傷时恢复2点生命值,Restore 2 HP whenever you take damage.,ダメージを受けた時、HPを2回復する。
51,,物品,,梦羽钢,夢羽鋼,Dream Feather Steel,夢羽鋼,梦境与现实交汇处诞生的奇异金属，轻盈如羽却坚如钢铁。,夢境與現實交匯處誕生的奇異金屬，輕盈如羽卻堅如鋼鐵。,"A strange metal born at the intersection of dreams and reality, as light as a feather yet as strong as steel.",夢と現実の交差点で生まれた奇妙な金属。羽のように軽いが、鋼のように頑丈。,回合结束时，手牌中每有一张非指向性牌，获得2点护盾。,回合结束时，手牌中每有一张非指向性牌，获得2点护盾。,"At turn end, gain 2 Shield for each non-targeted card in your hand.",ターン終了時、手札にある非対象指定カード1枚につき、シールドを2獲得する。
52,,契约,,死契 伊尔,死契 伊爾,Death Contract Il,死の契約 イル,伊尔公司发行的死亡债券，给予那些挣扎在死亡边缘的人们以救赎，或绝望。,伊爾公司發行的死亡債券，給予那些掙扎在死亡邊緣的人們以救贖，或絕望。,"Death bonds issued by Il Company, offering redemption or despair to those struggling on death's edge.",イル社が発行する死亡債券。死の淵で苦しむ者たちに救済、あるいは絶望を与える。,回合结束时，获得等同当前护盾量40%的护盾，在第6回合结束时死亡。,回合结束时，获得等同当前护盾量40%的护盾，在第6回合结束时死亡。,"At turn end, gain Shield equal to 40% of your current Shield. Die at the end of turn 6.",ターン終了時、現在のシールド量の40%に等しいシールドを獲得する。6ターン目の終了時に死亡する。
*53,,物品,,历战徽记：先登,歷戰徽記：先登,Battle Badge: First Assault,歴戦の証：先駆け,军队颁发的奖章，赐予那些身先士卒的士兵以荣誉，同时也赋予机体一往无前的勇气。,軍隊頒發的獎章，賜予那些身先士卒的士兵以榮譽，同時也賦予機體一往無前的勇氣。,"An army-issued medal that honors soldiers who are first into the fray, granting the bearer the courage to advance without hesitation.",軍が授与する勲章。率先して戦陣に赴く兵士に名誉を与え、同時に機体に恐れを知らぬ勇気をもたらす。,"每有一个敌人在第1回合死亡，魔女获得1层""士官""棋子的祝福。","每有一个敌人在第1回合死亡，魔女获得1层""士官""棋子的祝福。","For each enemy that dies on turn 1, the Witch gains 1 Stack of ""Sergeant"" blessing.",1ターン目に敵が1体死亡するたび、魔女は「軍曹」の祝福を1スタック獲得する。
54,,物品,,阴&阳,陰&陽,Yin & Yang,陰陽,古老哲学的物化体现，黑白双色的神秘符印。古谚有云：万物负阴而抱阳，冲气以为和。,古老哲學的物化體現，黑白雙色的神秘符印。古諺有云：萬物負陰而抱陽，沖氣以為和。,"A material embodiment of ancient philosophy, a mysterious seal of black and white. An old proverb says: All things carry yin and embrace yang, blending their energies to create harmony.",古い哲学の具現化、白黒二色の神秘的な印。古い諺に曰く：万物は陰を背負い陽を抱き、気を冲して和を為す。,当你回合内抽牌第一次达到手牌上限时，回复3点魔能；当你回合内回复魔能第一次超过魔能上限时，抽4张牌。,当你回合内抽牌第一次达到手牌上限时，回复3点魔能；当你回合内回复魔能第一次超过魔能上限时，抽4张牌。,"When you first reach your hand limit by drawing cards in a turn, restore 3 Mana. When you first exceed your Mana limit by restoring Mana in a turn, draw 4 cards.",ターン中にカードを引いて初めて手札上限に達した時、マナを3回復する。ターン中にマナを回復して初めてマナ上限を超えた時、カードを4枚引く。
55,,物品,,轴钉,軸釘,Axis Pin,軸釘,高阶圣械的中轴，无机物用于链接神性的脊柱。,看似不起眼的零件，卻是驅動機械升格的核心。,"A seemingly insignificant component, yet it is the very core that drives the machine's ascension.",些細な部品に見えるが、これこそが機械を昇格へと導く原動力の核である。,回合开始时，获得3层自愈，10层超凡。,战斗开始时获得1层{buff_sublimation}。,"At combat start, gain 1 Stack of {buff_sublimation}.",戦闘開始時、{buff_sublimation}を1スタック獲得する。
56,,物品,,《风暴》,《風暴》,Storm,『嵐』,一本特制的魔法书，无须念诵咒语，持有者心中升起的气流便会在现实中化为风暴。,命運對勇士低語：你無法抵禦風暴；勇士低語回應：我就是風暴。,Fate whispers to the warrior: You cannot withstand the storm; the warrior whispers back: I am the storm.,運命は勇者に囁く：お前は嵐に耐えられない。勇者は囁き返す：私が嵐だ。,"回合开始时你对随机敌人造成2点伤害,重复等同当前精神数值/5的次数，然后+1手牌上限。","回合开始时你对随机敌人造成2点伤害,重复等同当前精神数值/5的次数，然后+1手牌上限。","At turn start, deal 2 Damage to a random enemy, repeat a number of times equal to current Spirit/5, then Hand Limit +1.",ターン開始時、ランダムな敵に2ダメージを与える。これを現在の精神値/5の回数繰り返し、その後手札上限+1。
57,,概念,,先机,先機,Initiative,先手,兵法有云：先发制人。,兵法有云：先發制人。,As the art of war dictates: the one who strikes first gains the advantage.,兵法に曰く：先んずれば人を制す。,在第1回合你额外抽2张牌。,在第1回合你额外抽2张牌。,Draw 2 additional cards on turn 1.,1ターン目に追加でカードを2枚引く。
58,,闭锁时环,,回廊,迴廊,Corridor,回廊,一条连接着过去与现在的时空回廊，让你有机会重新来过。,一條連接着過去與現在的時空迴廊，讓你有機會重新來過。," A temporal corridor connecting past and present, offering a chance to begin anew.",過去と現在を繋ぐ時空の回廊。やり直す機会を与えてくれる。,"第二回合开始时,你回到战斗开始时的状态。","第二回合开始时,你回到战斗开始时的状态。","At the start of turn 2, return to your state at combat start.",2ターン目の開始時、戦闘開始時の状態に戻る。
59,,概念,,追忆,追憶,Reminiscence,追憶,不知何人的思念在此留痕。,人們總是在失去後才懂得珍惜。,People only learn to cherish after they have lost.,人は失ってから初めて大切さを知る。,"你每次行动时,随机触发以下效果,对随机敌人造成x点伤害、自身获得x点护盾，自身回复x点血量，获得x点金币。(x为你本场战斗焚毁的卡牌数目)","你每次行动时,随机触发以下效果,对随机敌人造成x点伤害、自身获得x点护盾，自身回复x点血量，获得x点金币。(x为你本场战斗焚毁的卡牌数目)","Each time you act, randomly trigger one of the following: deal x Damage to a random enemy, gain x Shield, restore x Health, or gain x Gold (x = cards burned this battle).",行動するたび、以下の効果のいずれかがランダムに発動する：ランダムな敵にxダメージ、自身にxシールド、自身のHPをx回復、xゴールドを獲得。（xはこの戦闘で燃焼したカードの枚数）。
60,,物品,,魔力插头,魔力插頭,Mana Plug,魔力プラグ,用于回收逸散魔力的便携式装置，能将其转化为生命能量。,用於回收逸散魔力的便攜式裝置，能將其轉化為生命能量。,A portable device for recovering dissipated mana and converting it into life energy.,散逸した魔力を回収し、生命エネルギーに変換するための携帯装置。,"回合结束时,消耗所有剩余魔能，每点魔能恢复6点生命","回合结束时,消耗所有剩余魔能，每点魔能恢复6点生命","At turn end, consume all remaining Mana. Restore 6 Health per Mana consumed.",ターン終了時、残りのマナを全て消費し、1マナごとにHPを6回復する。
61,,物品,,赝造金像,贗造金像,Fake Golden Statue,偽りの金像,外表华丽的赝品雕像，虽然并非真金打造，但其精湛的工艺足以以假乱真。,外表華麗的贗品雕像，雖然並非真金打造，但其精湛的工藝足以以假亂真。,"A gorgeous fake statue. Although not made of real gold, its exquisite craftsmanship is enough to pass for the real thing.",見た目は豪華な偽物の像。本物の金で作られてはいないが、その精巧な作りは本物と見紛うほどだ。,"战斗开始时最大生命值-2,获得40金币","战斗开始时最大生命值-2,获得40金币","At combat start, Max HP -2 and gain 40 Gold.",戦闘開始時、最大HP-2、40ゴールドを獲得する。
62,,概念,,固化理智,固化理智,Solidified Reason,固定化された理性,一种固定住清醒状态的术法，其起源已不可考证，魔法回路和奥尔德林本土截然不同。,保持頭腦清醒是做出正確抉擇的前提。,Maintaining a clear head is the prerequisite for making the right decision.,正しい選択を下すには、まず頭を冷静に保つことだ。,"回合结束时,你可以额外保留2张卡牌","回合结束时,你可以额外保留2张卡牌","At turn end, you may retain 2 additional cards.",ターン終了時、追加でカードを2枚保持できる。
63,,物品,,《死灵之书》,《死靈之書》,Necronomicon,『ネクロノミコン』,禁忌的亡灵典籍，记载着与不可名状者的沟通方式，阅读者需承受巨大的精神风险。,禁忌的亡靈典籍，記載著與不可名狀者的溝通方式，閱讀者需承受巨大的精神風險。,"A forbidden tome of the undead, recording methods of communication with the unspeakable, requiring the reader to bear immense mental risks.",禁断の死霊の書。名状しがたき者との交信方法が記されており、読む者は大きな精神的リスクを負う。,战斗开始时获得混乱,战斗开始时获得混乱,Gain 1 Stack of {buff_chaos} at combat start.,戦闘開始時、{buff_chaos}を1スタック獲得する。
*64,,物品,,笼中雀,籠中雀,Caged Bird,籠の中の鳥,笼中之鸟为何而鸣？,我知道：籠中鳥為何歌唱？,I know why the caged bird sings.,知っているわ、籠の中の鳥はなぜ歌うのか？,"时之笼层数每发生两次变化,抽1张牌。","时之笼层数每发生两次变化,抽1张牌。",Draw 1 card for every 2 changes in {buff_timelock} Stacks.,{buff_timelock}のスタックが2回変化するたび、カードを1枚引く。
*65,,物品,,咒怨石像,咒怨石像,Cursed Statue,呪怨の石像,一尊散发着不祥气息的石像，敌人的痛苦哀嚎是它最悦耳的乐章。,一尊散發著不祥氣息的石像，敵人的痛苦哀嚎是它最悅耳的樂章。,A statue that radiates an ominous aura. The agonized cries of its enemies are its sweetest music.,不吉なオーラを放つ石像。敵の苦悶の叫びこそが、これにとって最も心地よい音楽である。,"每当敌人在其自己的回合中死亡时，你获得一层""萨满""的祝福。","每当敌人在其自己的回合中死亡时，你获得一层""萨满""的祝福。","Whenever an enemy dies during its own turn, gain 1 Stack of ""Shaman"" blessing.",敵が自身のターン中に死亡するたび、「シャーマン」の祝福を1スタック獲得する。
66,,物品,,千纸鹤,千紙鶴,Paper Crane,千羽鶴,承载着美好愿望的纸鹤，传说中能够实现人们的祈愿。,承載著美好願望的紙鶴，在東方傳說中能夠實現人們的祈願。,"A paper crane carrying good wishes, said to grant people's prayers in Eastern legends.",美しい願いを乗せた折り鶴。東方の伝説では、人々の祈りを叶えることができるという。,每抽一张牌，随机获得0-3点护盾值。,每抽一张牌，随机获得0-3点护盾值。,"Whenever you draw a card, randomly gain 0–3 Shield.",カードを1枚引くたび、ランダムで0～3のシールドを獲得する。
67,,物品,,律法范本,律法範本,Law Template,法の雛形,联邦律法的底本，受到教皇神权的加护，因此成为一种抵御邪魔的武器。,秩序誕生於苦難，每一次承受傷害，都是在為新的律法奠基。,Order is born from suffering. Every blow endured lays the foundation for a new law.,秩序は苦難より生まれる。受ける傷の一つ一つが、新たな律法の礎となるのだ。,"每累计受到6次伤害，获得一个""律法""的祝福。每场战斗最多触发4次。","每累计受到6次伤害，获得一个""律法""的祝福。每场战斗最多触发4次。","Gain 1 ""Law"" blessing for every 6 instances of damage taken. Max 4 triggers per battle.",合計6回ダメージを受けるたび、「法」の祝福を1つ獲得する。各戦闘で最大4回まで発動。
68,,物品,,国王权杖,國王權杖,King's Scepter,王の笏,象征王权的神圣权杖，握持者将获得统治的威严与力量。,象徵王權的神聖權杖，握持者將獲得統治的威嚴與力量。,"A sacred scepter symbolizing royal power, granting its holder the majesty and strength of rule.",王権を象徴する神聖な笏。持つ者は統治の威厳と力を得る。,"你每通过一个精英关卡，获得一个""皇后""的祝福。","你每通过一个精英关卡，获得一个""皇后""的祝福。","Gain 1 ""Queen"" blessing for each Elite stage cleared.",エリートマスを1つ通過するたび、「女王」の祝福を1つ獲得する。
69,,物品,,石之心,石之心,Heart of Stone,石の心,冷酷无情的石质心脏，让持有者免受情感波动的干扰，保持绝对的冷静。,冷酷無情的石質心臟，讓持有者免受情感波動的干擾，保持絕對的冷靜。,"A cold, unfeeling heart of stone, protecting its owner from emotional turmoil and maintaining absolute composure.",冷酷無情な石の心臓。持ち主を感情の波から守り、絶対的な冷静さを保たせる。,结束回合时，若你本回合没有出过牌，获得30点的护盾.,结束回合时，若你本回合没有出过牌，获得30点的护盾.,"At turn end, if you played no cards this turn, gain 30 Shield.",ターン終了時、このターンにカードを使用しなかった場合、30のシールドを獲得する。
70,,契约,,灵感债券,靈感債券,Inspiration Bond,霊感債券,将创造力与灵感证券化的神秘契约，能够在关键时刻激发无限的想象力。但是代价是……？,將創造力與靈感證券化的神秘契約，能夠在關鍵時刻激發無限的想像力。但是代價是……？,"A mysterious contract that securitizes creativity and inspiration, capable of sparking infinite imagination at critical moments. But at what cost...?",創造力と霊感を証券化した神秘的な契約。重要な瞬間に無限の想像力を引き出すことができる。しかし、その代償は……？,"战斗开始时额外抽5张牌。后续每回合额外抽x张牌(x为5-你本回合打出的手牌数,如果x<0改为丢弃)。","战斗开始时额外抽5张牌。后续每回合额外抽x张牌(x为5-你本回合打出的手牌数,如果x<0改为丢弃)。","At combat start, draw 5 additional cards. Each subsequent turn, draw x additional cards (x = 5 − cards played this turn; if x < 0, discard instead).",戦闘開始時、追加でカードを5枚引く。以降の各ターン、追加でx枚のカードを引く（x = 5 − このターンに使用した手札の枚数。x<0の場合は捨てる）。
71,,物品,,火鬼鸣泣,火鬼鳴泣,Fire Ghost Cry,火鬼の鳴泣,来自火焰深处的幽灵哀嚎着，燃烧着愤怒与悲伤的火焰能量。,來自火焰深處的幽靈哀嚎著，燃燒著憤怒與悲傷的火焰能量。,"A ghost from the depths of fire wails, burning with the fiery energy of anger and sorrow.",炎の深淵から聞こえる幽霊の嘆き。怒りと悲しみの炎のエネルギーを燃やしている。,"魔能自然回复+1，回合开始时，如果手上有多余手牌,选择一张手牌焚毁。","魔能自然回复+1，回合开始时，如果手上有多余手牌,选择一张手牌焚毁。","Mana regeneration +1. At turn start, if you have excess cards in hand, choose 1 card to burn.",マナの自然回復+1。ターン開始時、手札に余分なカードがある場合、手札を1枚選択して燃焼する。
72,,物品,,龙之血,龍之血,Dragon's Blood,竜の血,魔王血脉的根源，奇美拉形态得以存在的基石。,傳說中巨龍的鮮血，蘊含著強大的魔力，是煉製頂級藥劑的珍貴材料。,"The blood of a legendary dragon, containing powerful magic, a precious material for crafting top-tier potions.",伝説の巨竜の血。強大な魔力を秘めており、最高級の薬を練成するための貴重な材料。,战斗开始时，卡组的牌数量每比10张多一张，获得10层超凡。最多100层。,战斗开始时，卡组的牌数量每比18张多一张，获得10层超凡。最多100层,"At combat start, gain 10 Stacks of {buff_extraordinary} for each card in deck beyond 18. Max 100 Stacks.",戦闘開始時、デッキが18枚を超えるごとに{buff_extraordinary}を10スタック獲得。最大100スタック。
73,,物品,,试作光环,試作光環,Prototype Halo,試作の光輪,圣械司试图复刻神迹的产物，创造者试图更进一步接近她的主，从结果来看无疑是失败了。,天使的光環，即使是練手之作，也散發著聖潔的光輝。,"An angel's halo, radiating a holy glow even as a prototype.",天使の光輪。試作品であっても、聖なる輝きを放っている。,魔能自然回复-2，每回合结束时获得一层启示。,魔能自然回复-2，每回合结束时获得一层启示。,"Mana regeneration -2. At turn end, gain 1 Stack of {buff_epiphany}.",マナ自然回復-2。ターン終了時、{buff_epiphany}を1スタック獲得する。
74,,物品,,主教长袍,主教長袍,Bishop's Robe,司教のローブ,象征着神权的圣洁长袍。,象徵著神權的聖潔長袍。,A holy robe symbolizing divine authority.,神権を象徴する聖なるローブ。,每回合一次，第一次打空手牌时，抽5张牌。,每回合一次，第一次打空手牌时，抽4张牌。,"Once per turn, when you first empty your hand, draw 4 cards.",各ターン1回、最初に手札を使い切った時、カードを4枚引く。
75,,物品,,纸牌塔：白,紙牌塔：白,Card Tower: White,カードタワー：白,用纯白卡牌搭建的脆弱高塔，象征着理想与希望。,用純白卡牌搭建的脆弱高塔，象徵著理想與希望。,"A fragile tower built of pure white cards, symbolizing ideals and hope.",真っ白なカードで建てられた脆い高塔。理想と希望を象徴している。,回合结束时，获得弃牌堆卡牌数量的护盾。,回合結束時，獲得棄牌堆卡牌數量的護盾。,"At turn end, gain Shield equal to the number of cards in your discard pile.",ターン終了時、捨て札の枚数分のシールドを獲得する。
*76,,物品,,纸牌塔：黑,紙牌塔：黑,Card Tower: Black,カードタワー：黒,用漆黑卡牌建造的不祥之塔，承载着绝望与毁灭。,用漆黑卡牌建造的不祥之塔，承載著絕望與毀滅。,"An ominous tower built of pitch-black cards, carrying despair and destruction.",漆黒のカードで建てられた不吉な塔。絶望と破滅を宿している。,回合结束时，若抽牌堆数大于手牌数，获得相当于抽牌堆牌数的护盾。,回合结束时，若抽牌堆数大于手牌数，获得相当于抽牌堆牌数的护盾。,"At turn end, if draw pile size exceeds hand size, gain Shield equal to draw pile size.",ターン終了時、山札の枚数が手札の枚数より多い場合、山札の枚数に等しいシールドを獲得する。
*77,,物品,,铁桶,鐵桶,Iron Bucket,鉄のバケツ,歪比巴卜。,歪比巴卜,Wabibabo,ワイビバボ,战斗开始时获得12点护甲,战斗开始时获得12点护甲,Gain 12 Armor at combat start.,戦闘開始時にアーマーを12獲得する。
*78,,物品,,纯金王冠,純金王冠,Pure Gold Crown,純金の王冠,象征着世俗权力的顶点。,象徵着世俗權力的頂點。,It symbolizes the pinnacle of secular power.,世俗的な権力の頂点を象徴する。,战斗开始时获得3层锋锐与1点额外魔能,战斗开始时获得3层锋锐与1点额外魔能,Gain 3 Stacks of {buff_keenedge} and 1 additional Mana at combat start.,戦闘開始時、{buff_keenedge}を3スタックとマナ1を獲得する。
*79,,物品,,可可的勾线笔,可可的勾线笔,可可的勾线笔,可可的勾线笔,见习天使可可的勾线笔，能够绘制一些微小的祝福，笔下是懵懂天使纯真的梦。,见习天使可可的勾线笔，能够绘制一些微小的祝福，笔下是懵懂天使纯真的梦。,见习天使可可的勾线笔，能够绘制一些微小的祝福，笔下是懵懂天使纯真的梦。,见习天使可可的勾线笔，能够绘制一些微小的祝福，笔下是懵懂天使纯真的梦。,战斗开始时随机获得5个buff,战斗开始时随机获得5个buff,Gain 5 random Buffs at combat start.,戦闘開始時、ランダムなバフを5つ獲得する。
*80,,物品,,迷途天使之环,迷途天使之环,迷途天使之环,迷途天使之环,光环的性质因主人发生了改变，但这毫无疑问是真正的天使光环，得不到天使认证的二手使用者无法发挥它全部的力量，但也因此不会受到它全部的诅咒。,光环的性质因主人发生了改变，但这毫无疑问是真正的天使光环，得不到天使认证的二手使用者无法发挥它全部的力量，但也因此不会受到它全部的诅咒。,光环的性质因主人发生了改变，但这毫无疑问是真正的天使光环，得不到天使认证的二手使用者无法发挥它全部的力量，但也因此不会受到它全部的诅咒。,光环的性质因主人发生了改变，但这毫无疑问是真正的天使光环，得不到天使认证的二手使用者无法发挥它全部的力量，但也因此不会受到它全部的诅咒。,战斗开始时获得2层{buff_degrade}和2层{buff_impregnable}。,战斗开始时获得2层{buff_degrade}和2层{buff_impregnable}。,Gain 2 Stacks of {buff_degrade} and 2 Stacks of {buff_impregnable} at combat start.,戦闘開始時、{buff_degrade}を2スタックと{buff_impregnable}を2スタック獲得する。
